id,clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,ic_rezedu,carencias
0,1,Aguascalientes,1001,Aguascalientes,861446,26.1,11.7,52.6
1,1,Aguascalientes,1002,Asientos,46624,54,19.8,83
2,1,Aguascalientes,1003,Calvillo,52773,56.8,23.2,84.3
3,1,Aguascalientes,1004,Cosío,15321,43.2,14.7,75.9
4,1,Aguascalientes,1005,Jesús María,125750,25,17.3,63.1
5,1,Aguascalientes,1006,Pabellón de Arteaga,45733,34.9,15.3,65.1
6,1,Aguascalientes,1007,Rincón de Romos,50895,50.1,14.6,73.3
7,1,Aguascalientes,1008,San José de Gracia,8768,59.6,15.3,81.8
8,1,Aguascalientes,1009,Tepezalá,20484,50.7,20.8,81.9
9,1,Aguascalientes,1010,El Llano,19955,55.1,19.7,81
10,1,Aguascalientes,1011,San Francisco de los Romo,45152,31.3,16.9,59.7
11,2,Baja California,2001,Ensenada,569425,33.5,17.9,70.6
12,2,Baja California,2002,Mexicali,1014987,25.7,11.6,57.5
13,2,Baja California,2003,Tecate,110870,26.6,14,64.1
14,2,Baja California,2004,Tijuana,1693494,29.5,12.7,62.6
15,2,Baja California,2005,Playas de Rosarito,110698,37.8,13.5,78.3
16,3,Baja California Sur,3001,Comondú,82445,38.8,18.3,70.8
17,3,Baja California Sur,3002,Mulegé,65196,27.8,23.3,66.8
18,3,Baja California Sur,3003,La Paz,293687,24.3,10.3,54.3
19,3,Baja California Sur,3008,Los Cabos,306837,27.6,14.6,67.8
20,3,Baja California Sur,3009,Loreto,22045,41.3,11.1,65.5
21,4,Campeche,4001,Calkiní,53086,58.2,20.3,82.8
22,4,Campeche,4002,Campeche,283248,31.2,13.9,59.4
23,4,Campeche,4003,Carmen,276498,29,19.5,70.2
24,4,Campeche,4004,Champotón,89851,57.3,26.5,86.1
25,4,Campeche,4005,Hecelchakán,29167,56,19.9,81.9
26,4,Campeche,4006,Hopelchén,34592,69,31.6,93.3
