id,clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,ic_rezedu,carencias
1277,20,Oaxaca,20280,Villa Talea de Castro,2350,78.7,30.7,94.8
1070,20,Oaxaca,20073,Putla Villa de Guerrero,38813,68.0,27.0,94.3
107,7,Chiapas,7028,Chiapilla,5967,91.2,42.0,98.9
605,14,Jalisco,14075,San Marcos,3838,51.1,17.7,84.2
2031,29,Tlaxcala,29011,Muñoz de Domingo Arenas,4718,57.9,14.8,90.3
2077,29,Tlaxcala,29057,Santa Apolonia Teacalco,4597,65.3,13.0,80.3
2047,29,Tlaxcala,29027,Tenancingo,13692,57.2,22.1,82.9
1205,20,Oaxaca,20208,San Juan Mixtepec -Dto. 08 -,6888,88.2,50.3,99.3
1172,20,Oaxaca,20175,San Juan Bautista Atatlahuca,1632,95.7,32.5,100.0
2432,32,Zacatecas,32034,Nochistlán de Mejía,26855,61.6,23.1,86.0
1116,20,Oaxaca,20119,San Bartolomé Yucuañe,398,97.7,34.2,99.5
1220,20,Oaxaca,20223,San Juan Yatzona,489,93.7,32.1,99.8
1207,20,Oaxaca,20210,San Juan Ñumí,5926,96.2,31.1,99.9
37,5,Coahuila,5006,Castaños,29062,23.2,12.0,43.9
1833,24,San Luis Potosí,24021,Mexquitic de Carmona,64337,51.9,19.4,89.2
2283,30,Veracruz,30203,Zozocolco de Hidalgo,12256,86.7,38.4,98.6
1631,21,Puebla,21064,Francisco Z. Mena,20343,71.6,28.0,98.3
1722,21,Puebla,21155,Tecomatlán,5495,77.5,33.4,95.0
2272,30,Veracruz,30192,Vega de Alatorre,20674,64.9,29.4,91.5
1827,24,San Luis Potosí,24015,Charcas,19537,46.1,17.9,63.4
753,15,México,15098,Texcalyacac,5492,66.0,12.1,84.0
1681,21,Puebla,21114,Puebla,1719828,40.6,11.7,66.9
671,15,México,15016,Axapusco,29734,59.3,16.1,85.6
1322,20,Oaxaca,20325,San Pedro Quiatoni,11145,98.3,45.8,99.8
846,16,Michoacán,16066,Pátzcuaro,86166,64.5,22.4,83.7
1626,21,Puebla,21059,Chinantla,2240,77.3,31.9,96.5
1508,20,Oaxaca,20511,Santo Domingo Nuxaá,3221,98.2,22.5,99.9
1312,20,Oaxaca,20315,San Pedro Mártir,1747,86.5,36.8,99.9
378,12,Guerrero,12013,Azoyú,15031,75.9,29.6,96.7
1224,20,Oaxaca,20227,San Lorenzo Cacaotepec,16208,44.7,12.4,72.1
319,10,Durango,10039,Nuevo Ideal,23070,49.3,20.5,82.5
1386,20,Oaxaca,20389,Santa Inés Yatzeche,982,94.7,56.1,99.0
2303,31,Yucatán,31011,Celestún,7954,79.4,36.7,97.6
190,7,Chiapas,7112,San Juan Cancuc,35238,99.6,42.5,100.0
996,19,Nuevo León,19050,Vallecillo,1631,33.7,27.5,87.3
690,15,México,15035,Huehuetoca,152268,39.8,8.7,56.6
1302,20,Oaxaca,20305,San Pedro Comitancillo,4365,47.5,15.6,67.2
74,6,Colima,6005,Cuauhtémoc,30485,35.9,17.5,65.9
1392,20,Oaxaca,20395,Santa María Apazco,1774,86.9,45.0,99.9
679,15,México,15024,Cuautitlán,149965,26.2,5.8,45.1
1590,21,Puebla,21023,Atzitzintla,9433,93.2,37.2,99.3
437,12,Guerrero,12072,Zapotitlán Tablas,11356,93.3,38.7,99.7
2224,30,Veracruz,30144,Sayula de Alemán,34790,70.5,33.1,96.1
219,8,Chihuahua,8022,Dr. Belisario Domínguez,2609,62.0,37.7,89.7
616,14,Jalisco,14086,Tapalpa,18581,61.1,31.8,91.4
1469,20,Oaxaca,20472,Santiago Laollaga,3430,64.9,25.1,78.0
67,5,Coahuila,5036,Viesca,19533,50.0,22.7,73.1
989,19,Nuevo León,19043,Rayones,2640,71.0,36.2,95.4
2278,30,Veracruz,30198,Zacualpan,7154,84.5,44.6,97.8
1234,20,Oaxaca,20237,San Marcos Arteaga,1466,69.0,33.5,96.8
